max_rpm,energy,duration,speed,weight
267,931,0.479,30.1,3939
236,402,0.203,73.5,3688
372,1571,0.599,27.2,5323
1155,2140,0.262,59.8,17145
2182,7341,0.497,32.8,32742
1743,2334,0.161,96.0,26465
414,3422,1.075,12.6,5979
5444,21911,0.511,28.0,83814
2339,9747,0.51,31.8,35866
1122,3032,0.326,47.3,17492
1497,6319,0.531,30.9,21894
694,1299,0.258,54.2,10325
355,433,0.163,88.5,5271
521,728,0.197,74.1,8050
2624,4933,0.233,62.2,38778
144,918,0.792,18.0,2115
206,340,0.205,72.5,3149
164,732,0.618,25.0,2394
153,209,0.179,80.8,2345
3885,11851,0.423,32.5,56810
1993,4942,0.329,47.5,31370
856,2301,0.358,41.5,12783
204,232,0.174,87.3,2932
956,5223,0.695,21.4,13685
831,1666,0.265,60.9,12748
261,1423,0.666,22.8,3938
696,1263,0.222,73.4,10917
657,748,0.164,91.5,9507
1493,3075,0.293,49.1,22250
1580,3561,0.27,53.9,23990
153,202,0.161,93.5,2387
603,1090,0.265,56.9,8659
1547,3052,0.289,53.9,23139
933,1699,0.228,62.0,14316
3745,5886,0.215,72.0,57040
1713,10026,0.807,19.6,26310
254,366,0.185,83.9,3783
183,414,0.304,49.2,2635
1704,12270,0.998,16.5,24687
147,220,0.182,80.8,2218
1361,3223,0.315,43.9,19780
5236,35806,0.839,19.0,79150
1235,1879,0.211,67.0,18999
638,767,0.175,89.2,9131
1619,1781,0.156,89.9,24771
786,812,0.141,96.2,12011
1182,1467,0.159,88.1,16905
5108,62366,1.435,10.2,79533
619,1488,0.313,44.2,9057
5977,7266,0.168,83.7,85913
4609,13405,0.368,43.0,69054
272,535,0.246,64.1,4302
172,291,0.247,64.6,2623
190,554,0.374,42.9,2966
141,176,0.161,91.4,2147
198,401,0.291,55.3,2893
1917,3959,0.291,51.8,28935
174,188,0.149,99.8,2642
467,1026,0.288,54.4,6965
3663,13744,0.543,26.1,54506
151,323,0.282,56.2,2190
3164,4231,0.178,83.3,48393
414,507,0.174,79.9,6024
213,288,0.171,81.0,3175
1994,2901,0.19,73.7,30532
1529,5619,0.492,32.9,23419
4070,6263,0.188,87.6,61919
2393,2783,0.161,90.4,35472
3007,12999,0.523,27.5,46357
418,1964,0.651,21.7,6028
268,307,0.163,97.8,4004
2618,3088,0.16,88.1,37696
2989,4046,0.18,90.4,46969
6322,7732,0.173,89.8,96353
637,1269,0.276,58.8,10047
558,903,0.222,68.2,8571
2880,5755,0.264,59.1,41699
482,4257,1.051,14.6,7586
5052,8483,0.207,77.1,76270
3684,7909,0.289,55.5,57470
708,1236,0.224,68.3,10712
2600,4975,0.279,55.2,37734
2583,5878,0.3,54.3,38280
204,1031,0.64,25.5,2993
4484,13696,0.442,35.1,68303
1005,4407,0.557,24.3,14435
3451,13516,0.5,27.6,50717
462,606,0.165,97.6,6994
4397,19952,0.578,23.8,66450
636,1995,0.413,34.2,9167
140,257,0.225,63.2,2086
4699,8578,0.236,64.9,69063
188,885,0.638,23.9,2858
452,629,0.176,81.4,6974
5606,6965,0.175,80.7,82253
5554,22709,0.504,31.4,82429
1256,4613,0.453,36.0,18848
1598,1736,0.145,94.4,23686
748,1006,0.165,84.3,11559
432,721,0.212,72.8,6297
503,3138,0.915,17.4,7234
1923,4700,0.333,47.6,27772
2485,4907,0.26,60.3,37956
2922,14032,0.602,26.9,44248
3017,6022,0.281,50.3,43910
192,320,0.216,64.1,2857
926,2638,0.389,39.5,13836
174,229,0.199,80.3,2505
1148,1407,0.178,85.6,17165
751,2176,0.419,39.1,11250
4099,5429,0.186,85.5,64448
503,3207,0.807,19.3,7892
200,261,0.16,85.4,3161
242,942,0.582,23.7,3499
2598,18256,0.908,17.5,39338
1492,2381,0.208,67.8,22457
204,357,0.259,52.5,2970
187,241,0.177,91.7,2779
2092,6180,0.379,42.7,31042
173,474,0.395,35.8,2658
3431,6658,0.288,55.1,49813
2042,4656,0.267,51.0,31689
175,503,0.35,41.0,2749
180,293,0.212,72.4,2787
6180,9810,0.201,78.4,94907
563,720,0.156,86.8,8647
578,675,0.148,97.6,8525
3114,9649,0.416,34.0,48078
5519,8997,0.222,74.4,81353
6053,16590,0.341,45.5,94670
2450,3614,0.207,70.9,38106
581,1233,0.26,52.8,8715
192,210,0.154,99.4,2772
2888,4156,0.204,75.6,41819
1240,1601,0.167,95.7,17772
711,819,0.169,85.1,10514
4703,5670,0.18,91.3,69326
208,285,0.178,83.3,3089
927,1881,0.28,51.3,13739
134,490,0.445,32.7,2090
837,1986,0.348,43.3,12510
164,1679,1.38,11.8,2492
211,414,0.275,57.2,3183
211,455,0.275,55.5,3167
1627,2927,0.244,57.3,25352
2433,2621,0.143,97.7,37028
1249,1699,0.163,92.0,19595
6025,29836,0.639,24.6,86244
555,1650,0.365,43.2,8668
397,887,0.294,48.2,6115
4143,9861,0.325,42.4,59807
319,445,0.179,81.9,4796
5562,13235,0.284,57.2,86599
138,278,0.246,61.5,2097
5697,8044,0.167,86.8,88884
153,220,0.175,82.5,2367
4159,19261,0.635,21.9,65321
1044,1661,0.201,74.3,15760
6684,16685,0.323,49.2,97285
179,644,0.449,36.5,2669
1176,9799,1.035,14.5,17458
5735,11550,0.26,53.9,88684
1015,2954,0.37,42.0,15479
1618,5112,0.483,32.6,23461
1944,2917,0.189,72.5,30414
817,1192,0.203,79.3,11838
1550,6350,0.499,32.0,23293
1355,10967,1.032,14.5,19668
4446,6324,0.176,86.4,67931
156,1562,1.435,10.9,2389
410,484,0.165,94.3,6003
5647,8722,0.204,66.5,82366
4222,10493,0.356,39.0,65097
830,2447,0.435,32.2,11889
1445,17779,1.458,10.8,22626
377,1302,0.475,31.2,5919
280,1284,0.676,22.4,4174
836,1514,0.243,65.1,12269
555,2522,0.581,25.0,7968
1295,2862,0.273,57.6,19617
172,348,0.235,63.1,2710
6093,18884,0.397,36.8,90468
6183,51557,1.102,13.2,94748
2033,20532,1.228,13.4,30703
1084,10258,1.278,12.4,16287
428,576,0.177,76.5,6712
3213,10124,0.424,38.6,48266
1927,2999,0.194,81.7,29131
257,584,0.285,48.9,3778
4773,9271,0.27,50.8,70577
3224,6365,0.257,56.2,49945
5317,9193,0.207,74.2,82169
2223,6895,0.443,34.6,34198
1422,7966,0.684,20.9,22039
695,1257,0.247,60.0,10270
5377,13437,0.359,39.4,76861
4007,8026,0.274,49.8,59217
160,259,0.221,68.2,2387
146,311,0.267,54.5,2217
570,1088,0.23,65.8,8722
3307,6590,0.277,59.0,47657
6640,9229,0.182,76.6,95144
240,346,0.184,73.5,3602
1333,2334,0.236,58.1,20438
607,945,0.209,71.1,8874
5708,8096,0.176,88.6,88896
3690,7602,0.312,48.9,53921
3654,8266,0.318,47.1,53128
802,1270,0.185,78.8,12511
707,1203,0.231,62.4,10134
407,2514,0.893,16.4,5828
173,201,0.17,90.3,2493
3925,30420,1.097,12.8,58907
3125,4819,0.204,77.4,48097
6713,9117,0.194,78.3,99889
6526,6833,0.149,95.8,98692
1136,8620,1.009,14.9,17566
2679,5320,0.257,63.7,40505
5459,10466,0.28,48.5,80567
3543,8949,0.355,39.8,55533
345,1954,0.819,18.1,5263
739,1412,0.254,60.6,11654
226,413,0.266,53.1,3314
5648,35343,0.839,19.4,83547
1365,2515,0.237,65.1,21424
341,498,0.211,76.4,4892
1757,2705,0.183,79.1,27684
1510,1963,0.175,91.5,22449
556,1164,0.312,46.9,8119
213,222,0.149,95.8,3118
1758,2797,0.185,87.9,27670
1062,3149,0.376,36.7,15311
2850,13092,0.671,24.3,41037
1026,2160,0.302,49.2,15302
3732,9999,0.357,46.2,56086
1102,2110,0.245,61.8,17326
1204,2223,0.252,62.5,17949
4077,5415,0.174,77.5,61721
663,1230,0.268,55.9,9694
223,1260,0.808,19.4,3378
151,206,0.182,87.2,2238
2456,7689,0.369,37.9,38369
1454,1590,0.151,97.4,22642
2019,11711,0.716,20.6,31422
292,326,0.144,96.2,4600
228,1332,0.815,18.2,3409
145,585,0.517,30.8,2117
531,3964,1.015,14.2,7882
1350,2058,0.201,73.5,20103
629,868,0.189,86.5,9277
726,1405,0.277,49.1,11073
4518,5716,0.163,93.6,68733
511,957,0.249,63.1,7810
1016,1621,0.237,66.7,14937
2763,3973,0.182,86.1,42897
598,1817,0.427,36.7,9435
1534,3505,0.327,41.9,22800
4063,5085,0.165,91.5,58366
5531,6480,0.174,91.1,82079
243,257,0.141,97.9,3555
5088,6071,0.148,91.2,75036
913,4758,0.743,21.5,13712
374,501,0.186,84.1,5492
829,1922,0.314,46.9,12052
5996,7534,0.165,99.2,92485
900,2117,0.301,52.5,13739
469,972,0.274,59.8,7237
1581,3128,0.282,57.7,23831
354,900,0.384,39.0,5117
176,1328,0.941,16.8,2691
217,268,0.171,90.6,3311
227,341,0.194,82.2,3300
241,1335,0.703,22.6,3623
230,273,0.175,79.9,3442
1694,2470,0.214,66.3,24539
271,596,0.305,46.8,4074
524,1912,0.486,32.9,7732
4267,6465,0.182,87.4,66780
824,1195,0.205,73.0,12772
1798,3325,0.257,59.3,27238
261,471,0.246,64.9,3924
296,1576,0.793,18.2,4243
163,306,0.259,52.7,2346
267,1050,0.545,27.4,3872
389,1618,0.565,28.8,5947
278,457,0.228,69.5,3997
192,218,0.159,92.0,2829
211,458,0.296,46.3,3206
825,3104,0.537,28.7,12130
284,528,0.234,68.4,4483
534,720,0.175,88.4,8315
986,1285,0.191,77.3,14332
2014,2114,0.157,88.2,29784
153,302,0.278,58.3,2332
3041,3823,0.184,77.7,45625
1617,7211,0.627,22.6,23324
186,501,0.386,41.3,2753
4024,10950,0.365,45.1,60983
4706,9793,0.276,56.0,73377
165,210,0.164,93.6,2539
412,503,0.163,88.7,5907
3103,14311,0.613,22.1,46853
2483,9386,0.551,25.6,37350
274,672,0.362,42.2,4116
314,824,0.386,36.2,4536
573,1037,0.247,65.3,8520
904,932,0.154,91.2,13311
1480,1691,0.156,96.6,22460
537,996,0.218,68.8,8468
849,1004,0.179,85.4,12214
2593,5130,0.253,57.3,37235
160,693,0.561,28.7,2308
373,742,0.259,57.2,5369
2240,4547,0.26,60.0,32582
4506,6096,0.201,76.8,66368
1020,3201,0.465,29.8,14803
1079,2646,0.356,43.1,16035
195,496,0.354,42.8,3041
759,934,0.168,96.3,11512
1121,2767,0.323,50.0,16066
339,439,0.179,78.0,5163
396,482,0.177,77.6,5734
559,1921,0.424,33.9,8750
141,266,0.268,61.5,2163
463,513,0.15,90.5,7050
291,645,0.294,52.8,4573
461,620,0.161,95.1,7201
206,844,0.527,29.3,3195
4491,28469,0.849,16.7,65164
1300,1483,0.157,90.2,20395
1861,2652,0.171,86.3,28497
2779,2934,0.139,99.3,43833
955,1411,0.193,71.1,14056
189,223,0.146,94.3,2809
1105,1476,0.18,84.4,16351
1307,1699,0.171,86.0,19863
2390,4006,0.235,61.2,36941
737,1721,0.325,44.4,10824
226,264,0.15,94.1,3294
390,847,0.301,48.9,6069
551,1081,0.241,58.5,8277
1626,4021,0.311,50.2,25027
1202,2093,0.228,60.8,18653
549,1269,0.312,52.3,8054
6348,42427,0.962,14.3,94861
1385,1843,0.183,89.4,21390
330,774,0.32,50.0,5059
207,358,0.247,63.0,2978
250,1419,0.721,22.5,3636
362,3441,1.351,10.3,5234
248,823,0.437,32.1,3749
280,375,0.194,73.4,4149
401,2402,0.752,18.9,6100
251,313,0.157,91.8,3940
4407,17111,0.519,29.4,66774
184,712,0.478,28.4,2737
1015,4666,0.556,26.3,15565
687,6499,1.265,11.3,9960
6005,9756,0.193,79.5,93338
203,291,0.185,88.8,3100
608,1165,0.231,65.3,9483
5859,23899,0.549,26.9,88742
3757,11095,0.409,35.7,59088
3185,8060,0.3,52.8,48888
362,366,0.143,95.9,5485
259,941,0.508,32.3,3902
1831,2481,0.195,75.8,27354
4943,10695,0.291,49.6,75859
1179,3773,0.446,36.8,17658
1248,3050,0.32,51.0,18714
391,3090,0.94,16.4,5980
2795,3058,0.166,81.9,40585
278,1083,0.494,31.9,4157
465,632,0.193,75.3,7094
735,4335,0.908,16.2,10564
1004,1090,0.146,96.0,14569
360,1527,0.551,27.4,5162
212,257,0.176,89.4,3134
1435,1824,0.173,82.9,21799
403,485,0.168,97.1,6185
1316,2791,0.266,53.0,19432
255,316,0.182,75.5,3658
886,2311,0.356,43.4,13136
1111,5230,0.603,26.6,16065
160,405,0.328,49.9,2449
492,2571,0.634,24.9,7462
234,263,0.143,98.4,3383
175,1119,0.881,18.7,2562
6718,12605,0.258,63.0,96148
483,703,0.211,66.4,7058
3152,6778,0.26,58.4,47531
362,563,0.218,69.6,5415
1994,11016,0.725,20.5,28766
2622,5169,0.274,60.0,39141
1337,3775,0.382,35.8,20559
838,947,0.163,94.6,12653
668,910,0.18,78.6,10016
500,574,0.155,97.5,7829
5183,41768,1.184,13.4,75905
3302,9729,0.399,35.7,51549
5758,22048,0.532,27.6,87213
223,2418,1.486,11.0,3252
2318,8460,0.496,31.8,34894
5416,7695,0.214,71.1,78567
266,941,0.46,30.8,4063
180,363,0.265,55.8,2594
2351,3243,0.176,89.9,36322
1203,2282,0.22,72.4,18925
3724,7746,0.313,45.5,53860
236,654,0.356,43.5,3455
2912,6071,0.27,51.0,44891
307,1156,0.523,25.9,4401
252,430,0.226,67.1,3793
264,608,0.331,42.8,3802
3229,3700,0.158,86.7,48413
1794,2782,0.201,78.1,26988
1026,1623,0.231,64.9,15477
533,1538,0.371,42.8,8140
4137,17326,0.536,28.9,61853
616,885,0.196,79.9,9285
3102,6173,0.268,53.8,48798
725,2483,0.473,30.2,11145
565,2222,0.555,27.6,8738
844,3178,0.567,24.9,12221
437,605,0.199,79.9,6502
2549,8288,0.492,30.6,37255
996,1683,0.247,57.4,14293
335,723,0.304,50.6,4960
4718,9748,0.263,62.2,67511
587,762,0.155,88.9,8979
1082,1233,0.157,88.1,16769
4579,10357,0.317,50.6,69358
1528,13943,1.215,11.4,22992
218,413,0.281,48.4,3159
5300,8908,0.225,64.6,79027
1521,2826,0.248,60.2,23307
506,792,0.222,68.6,7413
230,1155,0.629,23.9,3448
2877,5668,0.238,68.2,44674
1519,7421,0.598,26.4,22621
1118,1615,0.212,77.5,16119
4552,13109,0.368,40.5,66027
2941,4100,0.186,73.9,43735
238,2108,1.144,14.3,3620
432,1057,0.289,46.7,6770
351,620,0.215,73.5,5286
2510,8578,0.447,30.4,36725
149,213,0.193,81.6,2280
1206,2266,0.244,66.8,18588
2745,4711,0.233,62.9,39484
4248,11190,0.34,41.8,61748
515,1043,0.265,53.4,7624
3192,5678,0.235,63.8,49696
198,404,0.267,52.5,3083
3511,5316,0.213,72.8,54843
222,532,0.298,49.0,3293
606,2227,0.513,28.2,9462
3119,11694,0.509,29.3,45249
251,2776,1.438,10.5,3595
322,906,0.375,37.1,4903
2238,3609,0.202,77.4,33737
2276,3516,0.198,81.5,33446
1709,5689,0.508,28.2,24565
2092,2162,0.146,96.3,30201
1065,2479,0.286,55.2,16714
345,400,0.152,92.5,5355
528,722,0.185,73.6,7733
276,424,0.205,75.0,4069
4488,26185,0.805,17.7,69897
1306,4527,0.47,29.8,19597
657,6620,1.524,10.8,9595
789,1094,0.193,74.5,12188
5625,16124,0.395,41.0,81364
232,321,0.174,80.8,3643
1358,3627,0.394,40.5,19816
975,1362,0.179,83.7,14471
1431,6726,0.631,21.8,21871
146,713,0.613,25.6,2146
4156,11785,0.398,40.7,60637
5333,10665,0.299,46.8,76678
1200,3634,0.379,41.4,18246
2072,2914,0.188,78.7,30522
4973,30374,0.842,18.7,73846
2126,5807,0.376,41.6,31813
251,268,0.159,85.4,3632
1207,8088,0.877,16.0,19060
1400,1529,0.157,94.8,21469
703,867,0.165,98.8,10510
2301,15557,0.808,18.0,35663
5367,17403,0.425,36.2,77355
5056,10528,0.311,43.5,74738
776,1228,0.196,79.9,11667
214,371,0.241,63.6,3114
6251,10172,0.23,68.0,94242
3570,5800,0.207,78.2,53246
206,1062,0.676,20.6,3257
4825,5861,0.168,85.0,73369
3862,6284,0.224,73.5,60111
1034,1711,0.225,62.0,15223
1344,1614,0.174,90.1,20211
622,1080,0.215,73.0,9526
164,680,0.552,28.2,2477
480,1069,0.291,48.7,7421
3213,5406,0.26,54.5,46243
129,1121,1.035,15.0,2036
509,539,0.147,95.9,7372
633,3366,0.718,21.6,9495
1104,1772,0.206,72.8,16370
4776,8799,0.264,55.6,73086
540,4414,1.17,12.3,7752
506,691,0.175,93.2,7771
2408,3079,0.173,86.7,35811
820,1458,0.266,57.2,11730
333,1234,0.534,30.6,4815
785,4160,0.738,20.9,11741
242,730,0.383,42.7,3470
271,806,0.419,33.0,3987
909,1907,0.288,55.6,14052
680,819,0.15,97.0,10298
4698,9100,0.258,61.7,71668
541,727,0.178,90.1,8255
1325,2042,0.209,68.6,19383
1595,3373,0.279,52.8,23726
133,193,0.18,86.9,2105
1855,3200,0.263,52.4,26813
262,381,0.179,88.2,4013
6009,15386,0.382,36.2,85873
249,1289,0.752,21.6,3577
704,779,0.165,87.0,10126
191,356,0.242,62.9,2792
6401,7727,0.154,90.0,98784
954,1136,0.152,94.4,14264
1331,10502,0.992,14.8,20538
169,325,0.272,55.1,2600
2534,5571,0.309,43.7,37600
289,554,0.244,66.3,4546
4684,5355,0.166,81.4,67111
309,942,0.449,35.3,4462
277,561,0.248,60.1,4216
154,247,0.204,73.8,2307
842,3926,0.639,22.1,12678
1261,1765,0.184,83.3,18225
175,310,0.234,64.5,2586
2708,2743,0.147,95.5,41555
781,2014,0.35,40.6,11780
